String ID,en-us,en-us-sms,en-us-voice,ko-kr,ko-kr-sms,ko-kr-voice,vi-vn,vi-vn-sms,vi-vn-voice,zh-cn,zh-cn-sms,zh-cn-voice,es-us,es-us-sms,es-us-voice,de-de,de-de-sms,de-de-voice,es-es,es-es-sms,es-es-voice,fi-fi,fi-fi-sms,fi-fi-voice,fr-fr,fr-fr-sms,fr-fr-voice,he-il,he-il-sms,he-il-voice,it-it,it-it-sms,it-it-voice,ja-jp,ja-jp-sms,ja-jp-voice,pt-pt,pt-pt-sms,pt-pt-voice,sv-se,sv-se-sms,sv-se-voice,th-th,th-th-sms,th-th-voice
c19.link/scheduling.phone.description.jamestown,"COVID-19 call center",,,,,,,,,,,,"Centro de llamadas COVID-19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.link/scheduling.phone.little_compton,"635-4400",,,,,,,,,,,,"635-4400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.link/scheduling.phone.description.little_compton,"Town Clerk",,,,,,,,,,,,"Secretario de la ciudad",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.link/scheduling.phone.middletown,"401-842-6565",,,,,,,,,,,,"401-842-6565",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.link/scheduling.phone.description.middletown,"Middletown Emergency Operations Center",,,,,,,,,,,,"Centro de Operaciones de Emergencia de Middletown",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.link/scheduling.phone.narragansett,"401-782-0611",,,,,,,,,,,,"401-782-0611",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.link/scheduling.phone.newport,"(401) 846-7426",,,,,,,,,,,,"(401) 846-7426",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.link/scheduling.phone.north_providence,"401-437-6418",,,,,,,,,,,,"401-437-6418",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.link/scheduling.phone.description.north_providence,"NORTH PROVIDENCE RESIDENTS COVID-19 HOTLINE",,,,,,,,,,,,"NORTH PROVIDENCE RESIDENTES COVID-19 LÍNEA DIRECTA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.link/scheduling.phone.pawtucket,"855-843-7620",,,,,,,,,,,,"855-843-7620",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.link/scheduling.phone.description.pawtucket,"BEAT COVID-19 Team",,,,,,,,,,,,"VENCE AL EQUIPO COVID-19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.link/scheduling.phone.portsmouth,"(401) 643-0323",,,,,,,,,,,,"(401) 643-0323",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.link/scheduling.phone.providence,"(401)421-2489",,,,,,,,,,,,"(401)421-2489",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.link/scheduling.phone.smithfield,"233-1010",,,,,,,,,,,,"233-1010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.link/scheduling.phone.description.smithfield,"Townhall",,,,,,,,,,,,"Ayuntamiento",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.link/scheduling.phone.tiverton,"(401) 222-8022",,,,,,,,,,,,"(401) 222-8022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.link/scheduling.phone.description.tiverton,"Tiverton COVID-19 Hotline",,,,,,,,,,,,"Línea directa de Tiverton COVID-19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.moreinfo/age.are_you_age.ri.1a,"High risk medical conditions include: 
Diabetes
- Type 1
- Type 2

Lung disease
- COPD (chronic obstructive pulmonary disease)
- Emphysema
- Cystic Fibrosis
- People with significant decreased lung function
- People with ALS (Lou Gehrig's disease)

Heart disease
- Congestive heart failure
- Coronary artery disease
- People with enlarged hearts (cardiomyopathies)
- People with other significant heart conditions
- People with Down Syndrome

Kidney disease
- People on dialysis
- Significant chronic kidney disease

Weakened immune system
- Cancer
- People who get chemotherapy or radiation
- People who have had a transplant or are waiting for a transplant
- HIV/AIDS
- Sickle cell disease
- People who have a disease that weakens the immune system
- People who take medicine that weakens the immune system
- Pregnancy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.moreinfo/essential_worker.are_you.ri.1a,"Pre K -12 teachers and staff at public, private, parochial, and independent schools, and licensed child care providers are eligible for vaccination at municipal sites where they work or participating pharmacy sites.  Vaccinations for this group will began mid-March.

For schools, eligible individuals include anyone providing regular, direct service to students, including teachers, administrative and clerical staff, bus drivers/monitors, coaches, cafeteria staff, maintenance staff, therapists working in schools, substitute teachers, and student teachers. School Committee members are not eligible.

For licensed child care providers, eligible individuals include all employees (regardless of schedule and hours of employment) who deliver direct, in-person services to children in DHS-licensed child care settings, maintenance staff, security and transportation personnel, and therapists and support staff.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.moreinfo/people_of_color.is.ri.1a,"The Hard-Hit Community Vaccination Strategy currently applies to the following ZIP codes in Central Falls, Pawtucket, and Providence: 02863, 02860, 02861, 02904, 02905, 02907, 02908, and 02909.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c19.eligibility.moreinfo/health.are_you_homebound.ri.1a,"RIDOH is partnering with three agencies—Alert Ambulance, MedTech Ambulance, and PACE—to administer COVID-19 vaccines to homebound people in their residences. If you have already completed the survey, one of these agencies will contact you soon to schedule a vaccination appointment. These agencies will begin vaccinating some people as soon as March 20.

Please note that Rhode Island has access to a limited supply of COVID-19 vaccines. Appointments for in-home vaccination are therefore being prioritized based on age and geography. Appointments will be made first for the oldest people and those who live in one of the following high-density communities: 02860, 02861, 02863, 02893, 02895,02904, 02905, 02906, 02907, 02908, 02909, 02910, 02911, 02914, 02919, and 02920.

RIDOH encourages those who can safely attend vaccination opportunities outside the home to do so. Due to limited vaccine supply, requests to vaccinate caregivers during a homebound vaccination appointment will be considered on a case-by-case basis. Such requests should only be made in situations where a caregiver leaving the home to seek vaccination will jeopardize the safety or care of the homebound individual. Caregivers who are vaccinated during a homebound vaccination appointment must meet current Rhode Island COVID-19 vaccination eligibility criteria.

If you are unable to leave home to receive COVID-19 vaccination, or are the healthcare provider or family caregiver of someone who is homebound, please inform RIDOH through the following survey: ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
